,Date,Close
0,2019-05-20,7978.31
1,2019-05-19,8197.69
2,2019-05-18,7271.21
3,2019-05-17,7343.9
4,2019-05-16,7884.91
5,2019-05-15,8205.17
6,2019-05-14,7994.42
7,2019-05-13,7814.92
8,2019-05-12,6972.37
9,2019-05-11,7204.77
10,2019-05-10,6378.85
11,2019-05-09,6174.53
12,2019-05-08,5982.46
13,2019-05-07,5829.5
14,2019-05-06,5746.81
15,2019-05-05,5795.71
16,2019-05-04,5831.17
17,2019-05-03,5768.29
18,2019-05-02,5505.28
19,2019-05-01,5402.7
20,2019-04-30,5350.73
21,2019-04-29,5247.35
22,2019-04-28,5285.14
23,2019-04-27,5268.29
24,2019-04-26,5279.35
25,2019-04-25,5210.52
26,2019-04-24,5464.87
27,2019-04-23,5572.36
28,2019-04-22,5399.37
29,2019-04-21,5314.53
30,2019-04-20,5337.89
31,2019-04-19,5303.81
32,2019-04-18,5298.39
33,2019-04-17,5251.94
34,2019-04-16,5235.56
35,2019-04-15,5067.11
36,2019-04-14,5167.72
37,2019-04-13,5096.59
38,2019-04-12,5089.54
39,2019-04-11,5064.49
40,2019-04-10,5324.55
41,2019-04-09,5204.96
42,2019-04-08,5289.77
43,2019-04-07,5198.9
44,2019-04-06,5059.82
45,2019-04-05,5036.68
46,2019-04-04,4922.8
47,2019-04-03,4973.02
48,2019-04-02,4879.88
49,2019-04-01,4158.18
50,2019-03-31,4105.4
51,2019-03-30,4106.66
52,2019-03-29,4098.37
53,2019-03-28,4069.11
54,2019-03-27,4087.07
55,2019-03-26,3985.08
56,2019-03-25,3963.07
57,2019-03-24,4022.17
58,2019-03-23,4035.83
59,2019-03-22,4023.97
60,2019-03-21,4029.33
61,2019-03-20,4087.48
62,2019-03-19,4071.19
63,2019-03-18,4032.51
64,2019-03-17,4025.23
65,2019-03-16,4048.73
66,2019-03-15,3960.91
67,2019-03-14,3924.37
68,2019-03-13,3906.72
69,2019-03-12,3909.16
70,2019-03-11,3905.23
71,2019-03-10,3951.6
72,2019-03-09,3963.31
73,2019-03-08,3901.13
74,2019-03-07,3911.48
75,2019-03-06,3903.94
76,2019-03-05,3896.38
77,2019-03-04,3761.56
78,2019-03-03,3847.18
79,2019-03-02,3864.42
80,2019-03-01,3859.58
81,2019-02-28,3854.79
82,2019-02-27,3851.05
83,2019-02-26,3854.36
84,2019-02-25,3882.7
85,2019-02-24,3810.43
86,2019-02-23,4142.53
87,2019-02-22,4005.53
88,2019-02-21,3954.12
89,2019-02-20,3999.82
90,2019-02-19,3947.09
91,2019-02-18,3915.71
92,2019-02-17,3673.84
93,2019-02-16,3629.79
94,2019-02-15,3620.81
95,2019-02-14,3616.88
96,2019-02-13,3632.07
97,2019-02-12,3653.53
98,2019-02-11,3648.43
99,2019-02-10,3690.19
100,2019-02-09,3671.2
101,2019-02-08,3666.78
102,2019-02-07,3399.47
103,2019-02-06,3413.77
104,2019-02-05,3466.36
105,2019-02-04,3459.15
106,2019-02-03,3464.01
107,2019-02-02,3521.06
108,2019-02-01,3487.95
109,2019-01-31,3457.79
110,2019-01-30,3486.18
111,2019-01-29,3448.12
112,2019-01-28,3470.45
113,2019-01-27,3583.97
114,2019-01-26,3602.46
115,2019-01-25,3599.77
116,2019-01-24,3600.87
117,2019-01-23,3585.12
118,2019-01-22,3604.58
119,2019-01-21,3576.03
120,2019-01-20,3601.01
121,2019-01-19,3728.57
122,2019-01-18,3657.84
123,2019-01-17,3678.56
124,2019-01-16,3655.01
125,2019-01-15,3630.68
126,2019-01-14,3706.05
127,2019-01-13,3552.95
128,2019-01-12,3661.3
129,2019-01-11,3687.37
130,2019-01-10,3678.92
131,2019-01-09,4035.3
132,2019-01-08,4030.85
133,2019-01-07,4025.25
134,2019-01-06,4076.63
135,2019-01-05,3845.19
136,2019-01-04,3857.72
137,2019-01-03,3836.74
138,2019-01-02,3943.41
139,2019-01-01,3843.52
140,2018-12-31,3742.7
141,2018-12-30,3865.95
142,2018-12-29,3820.41
143,2018-12-28,3923.92
144,2018-12-27,3654.83
145,2018-12-26,3857.3
146,2018-12-25,3815.49
147,2018-12-24,4078.6
148,2018-12-23,3998.98
149,2018-12-22,4014.18
150,2018-12-21,3896.54
151,2018-12-20,4134.44
152,2018-12-19,3745.95
153,2018-12-18,3696.06
154,2018-12-17,3545.86
155,2018-12-16,3252.84
156,2018-12-15,3236.76
157,2018-12-14,3242.48
158,2018-12-13,3313.68
159,2018-12-12,3486.95
160,2018-12-11,3424.59
161,2018-12-10,3502.66
162,2018-12-09,3614.23
163,2018-12-08,3476.11
164,2018-12-07,3419.94
165,2018-12-06,3521.1
166,2018-12-05,3753.99
167,2018-12-04,3956.89
168,2018-12-03,3894.13
169,2018-12-02,4139.88
170,2018-12-01,4214.67
171,2018-11-30,4017.27
172,2018-11-29,4278.85
173,2018-11-28,4257.42
174,2018-11-27,3820.72
175,2018-11-26,3779.13
176,2018-11-25,4009.97
177,2018-11-24,3880.76
178,2018-11-23,4347.11
179,2018-11-22,4365.94
180,2018-11-21,4602.17
181,2018-11-20,4451.87
182,2018-11-19,4871.49
183,2018-11-18,5623.54
184,2018-11-17,5554.33
185,2018-11-16,5575.55
186,2018-11-15,5648.03
187,2018-11-14,5738.35
188,2018-11-13,6359.49
189,2018-11-12,6371.27
190,2018-11-11,6411.27
191,2018-11-10,6409.22
192,2018-11-09,6385.62
193,2018-11-08,6453.72
194,2018-11-07,6530.14
195,2018-11-06,6461.01
196,2018-11-05,6419.66
197,2018-11-04,6376.13
198,2018-11-03,6361.26
199,2018-11-02,6388.44
200,2018-11-01,6377.78
201,2018-10-31,6317.61
202,2018-10-30,6334.27
203,2018-10-29,6332.63
204,2018-10-28,6486.39
205,2018-10-27,6480.38
206,2018-10-26,6474.75
207,2018-10-25,6476.29
208,2018-10-24,6495.84
209,2018-10-23,6475.74
210,2018-10-22,6487.16
211,2018-10-21,6482.35
212,2018-10-20,6489.19
213,2018-10-19,6465.41
214,2018-10-18,6476.71
215,2018-10-17,6544.43
216,2018-10-16,6596.11
217,2018-10-15,6596.54
218,2018-10-14,6290.93
219,2018-10-13,6285.99
220,2018-10-12,6274.58
221,2018-10-11,6256.24
222,2018-10-10,6585.53
223,2018-10-09,6642.64
224,2018-10-08,6652.23
225,2018-10-07,6602.95
226,2018-10-06,6588.31
227,2018-10-05,6622.48
228,2018-10-04,6576.69
229,2018-10-03,6502.59
230,2018-10-02,6556.1
231,2018-10-01,6589.62
232,2018-09-30,6625.56
233,2018-09-29,6601.96
234,2018-09-28,6644.13
235,2018-09-27,6676.75
236,2018-09-26,6495.0
237,2018-09-25,6446.47
238,2018-09-24,6595.41
239,2018-09-23,6710.63
240,2018-09-22,6721.98
241,2018-09-21,6734.95
242,2018-09-20,6519.67
243,2018-09-19,6398.54
